1,Algoritmos y Estructuras de Datos
2,Programación Orientada a Objetos
3,Base de Datos
4,Redes de Computadoras
5,Ingeniería de Software
6,Arquitectura de Computadoras
7,Programación en C
8,Programación en Java
9,Programación en Python
10,Programación en Ruby
11,Programación en JavaScript
12,Programación en PHP
13,Programación en C++
14,Programación en Swift
15,Programación en Kotlin
16,Programación en Go
17,Programación en Rust
18,Programación en TypeScript
19,Programación en Dart
20,Algoritmos
21,Programación en Lua
22,Programación en R
23,Programación en Julia
24,Programación en Haskell
25,Programación en Prolog
26,Programación en Lisp
27,Programación en Clojure
28,Programación en Erlang
29,Programación en F#
30,Programación en OCaml
31,Programación en Smalltalk
32,Programación en Tcl
33,Programación en Perl
34,Programación en Bash
35,Programación en PowerShell
36,Programación en SQL
37,Programación en PL/SQL
38,Programación en T-SQL
39,Programación en NoSQL
40,Programación en GraphQL